edit_history_tweet_ids,text,public_metrics,created_at,id,entities,geo
['1126745751181189121'],"And if you find a Filipina, and she’s fine, you better keep her. Cuz there ain’t nothing like a Filipina girl. 🤪","{'retweet_count': 0, 'reply_count': 1, 'like_count': 19, 'quote_count': 0, 'impression_count': 0}",2019-05-10T07:08:15.000Z,1126745751181189121,"{'annotations': [{'start': 18, 'end': 25, 'probability': 0.5188, 'type': 'Other', 'normalized_text': 'Filipina'}]}",
['1130287517964656640'],WHAT THE FUCK #GameOfThrones,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",2019-05-20T01:41:58.000Z,1130287517964656640,"{'annotations': [{'start': 15, 'end': 27, 'probability': 0.9334, 'type': 'Other', 'normalized_text': 'GameOfThrones'}], 'hashtags': [{'start': 14, 'end': 28, 'tag': 'GameOfThrones'}]}",
['1126938307475181568'],Fuck your book https://t.co/vyq2jBM9M1,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",2019-05-10T19:53:24.000Z,1126938307475181568,"{'urls': [{'start': 15, 'end': 38, 'url': 'https://t.co/vyq2jBM9M1', 'expanded_url': 'https://twitter.com/NatashaTynes/status/1126925472410087424', 'display_url': 'twitter.com/NatashaTynes/s…'}]}",
['1123766566414422017'],"Attorney General Barr cancels second day of testimony, escalating battle with Congress - Reuters - Crooked Ass https://t.co/JyJpOjmUzB","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T01:50:02.000Z,1123766566414422017,"{'urls': [{'start': 111, 'end': 134, 'url': 'https://t.co/JyJpOjmUzB', 'expanded_url': 'https://apple.news/Axr_0PqNnTEyMeJzBxkjhlQ', 'display_url': 'apple.news/Axr_0PqNnTEyMe…'}], 'annotations': [{'start': 17, 'end': 20, 'probability': 0.7643, 'type': 'Person', 'normalized_text': 'Barr'}, {'start': 78, 'end': 85, 'probability': 0.6988, 'type': 'Organization', 'normalized_text': 'Congress'}, {'start': 89, 'end': 95, 'probability': 0.9567, 'type': 'Organization', 'normalized_text': 'Reuters'}]}",
['1126980128867639296'],@DrJenGunter Up next: Ohio outlaws fucking,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T22:39:35.000Z,1126980128867639296,"{'mentions': [{'start': 0, 'end': 12, 'username': 'DrJenGunter', 'id': '25728193'}], 'annotations': [{'start': 22, 'end': 25, 'probability': 0.7838, 'type': 'Place', 'normalized_text': 'Ohio'}]}",
['1123706973738995712'],"He's an idiot, and worse than that, a Tory. But I'd like to see the media use their connections to at least research the possibility that he's the fall guy for someone else. The ghost of Sir Humphrey looms large here and your job is to not take things at face value. https://t.co/xiWwdyy0bG","{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",2019-05-01T21:53:14.000Z,1123706973738995712,"{'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/xiWwdyy0bG', 'expanded_url': 'https://twitter.com/krishgm/status/1123635102548922368', 'display_url': 'twitter.com/krishgm/status…'}], 'annotations': [{'start': 38, 'end': 41, 'probability': 0.9359, 'type': 'Organization', 'normalized_text': 'Tory'}, {'start': 191, 'end': 198, 'probability': 0.4555, 'type': 'Person', 'normalized_text': 'Humphrey'}]}",
['1123800301193039872'],"RT @tiadanaee: White people dont get arrested for rape, drugs, selling lemonade on the side of the road etc, but as soon as a white person…","{'retweet_count': 44018, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T04:04:05.000Z,1123800301193039872,,
['1130337224644386816'],RT @ItsRickkBitch: People will swear on everything &amp; still be lying their ass off,"{'retweet_count': 340, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-20T04:59:29.000Z,1130337224644386816,"{'mentions': [{'start': 3, 'end': 17, 'username': 'ItsRickkBitch', 'id': '1050407031184666624'}]}",
['1130329460975099904'],"RT @iconicaesthetic: me in 2012: sansa stark queen in the north
haters: delusional bitch it’s never gonna happen
me in 2019: https://t.co/m…","{'retweet_count': 1171, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-20T04:28:38.000Z,1130329460975099904,"{'mentions': [{'start': 3, 'end': 19, 'username': 'IconicAesthetic', 'id': '1268006173296525313'}], 'annotations': [{'start': 33, 'end': 43, 'probability': 0.7121, 'type': 'Person', 'normalized_text': 'sansa stark'}]}",
['1123609359697698816'],RT @davidhogg111: If you’re an anti-vax candidate I will not  vote for you and no one else should.,"{'retweet_count': 1444, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T15:25:21.000Z,1123609359697698816,"{'mentions': [{'start': 3, 'end': 16, 'username': 'davidhogg111', 'id': '1915033663'}]}",
['1126824033675354112'],"RT @RWPUSA: Republicans were willing to impeach a president for lying about a consensual affair with a White House intern.
Democrats won’t…","{'retweet_count': 1614, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T12:19:19.000Z,1126824033675354112,"{'mentions': [{'start': 3, 'end': 10, 'username': 'RWPUSA', 'id': '2863996955'}], 'annotations': [{'start': 103, 'end': 113, 'probability': 0.4513, 'type': 'Organization', 'normalized_text': 'White House'}, {'start': 123, 'end': 131, 'probability': 0.494, 'type': 'Organization', 'normalized_text': 'Democrats'}]}",
['1123796853479432193'],"RT @SudheenKulkarni: ""#Congress people hate me so much that they dream of KILLING me"" - #Modi

Coming from an incumbent PM, this is an extr…","{'retweet_count': 106, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T03:50:23.000Z,1123796853479432193,"{'mentions': [{'start': 3, 'end': 19, 'username': 'SudheenKulkarni', 'id': '358127438'}], 'annotations': [{'start': 89, 'end': 92, 'probability': 0.7866, 'type': 'Person', 'normalized_text': 'Modi'}], 'hashtags': [{'start': 22, 'end': 31, 'tag': 'Congress'}, {'start': 88, 'end': 93, 'tag': 'Modi'}]}",
['1126890945402867712'],@SweetSP902 I hate you’ll.... but she didn’t tell us that juicy piece tho👀👀 https://t.co/lb2YQGLAFO,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T16:45:12.000Z,1126890945402867712,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SweetSP902', 'id': '1093218623278235648'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/lb2YQGLAFO', 'expanded_url': 'https://twitter.com/imperfect_649/status/1126890945402867712/photo/1', 'display_url': 'pic.twitter.com/lb2YQGLAFO', 'media_key': '16_1126890939316879360'}]}",
['1123828109445357575'],"@girlsreallyrule Such arrogant assholes these Trump enablers, GOP corrupt thugs!!!","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",2019-05-02T05:54:35.000Z,1123828109445357575,"{'mentions': [{'start': 0, 'end': 16, 'username': 'girlsreallyrule', 'id': '580312540'}], 'annotations': [{'start': 46, 'end': 50, 'probability': 0.9543, 'type': 'Person', 'normalized_text': 'Trump'}]}",
['1126815804438134784'],RT @SethAbramson: All I'm saying and I realize it's controversial is that we shouldn't have a president who committed a bunch of crimes,"{'retweet_count': 6442, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T11:46:37.000Z,1126815804438134784,"{'mentions': [{'start': 3, 'end': 16, 'username': 'SethAbramson', 'id': '3223426134'}]}",
['1126846418659028992'],That Nigga ain’t shit dawg👎🏽 https://t.co/5e47Gr3FTY,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T13:48:16.000Z,1126846418659028992,"{'urls': [{'start': 29, 'end': 52, 'url': 'https://t.co/5e47Gr3FTY', 'expanded_url': 'https://twitter.com/Reeseyola/status/1126634915498426376', 'display_url': 'twitter.com/Reeseyola/stat…'}]}",
['1130021905250095105'],"You ever question yourself where the energy usually come from during RAMADAN period?

The sleepless nights,work,tefseer,tilawat during the day

subhanallah! Are these not prove enough for us to know that Allah truly chained shaytan throughout the holy month.indeed HE'S d greatest","{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'impression_count': 0}",2019-05-19T08:06:31.000Z,1130021905250095105,"{'annotations': [{'start': 69, 'end': 75, 'probability': 0.6812, 'type': 'Other', 'normalized_text': 'RAMADAN'}, {'start': 204, 'end': 208, 'probability': 0.556, 'type': 'Other', 'normalized_text': 'Allah'}]}",
['1123787345000632321'],"RT @1pinkfridayy: y’all b so happy to brag about being trash human beings on here fucking psychopaths, get help","{'retweet_count': 132, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T03:12:36.000Z,1123787345000632321,"{'mentions': [{'start': 3, 'end': 16, 'username': '1pinkfridayy', 'id': '1570413416677883904'}]}",
['1126795986372825088'],"RT @JimMFelton: 2016:
""Brexit will improve your lives""

2019:
""It won't be as bad as that time that 450,000 of us fucking died"" https://t.c…","{'retweet_count': 2786, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T10:27:52.000Z,1126795986372825088,"{'mentions': [{'start': 3, 'end': 14, 'username': 'JimMFelton', 'id': '2904913023'}], 'annotations': [{'start': 23, 'end': 28, 'probability': 0.9171, 'type': 'Other', 'normalized_text': 'Brexit'}]}",
['1123745930442878977'],"@ChooseToBFree @adjunctprofessr Who’s in bed with Russia. We know you Dems are evil! Hillary sold our Uranium to them Obama told Russian agent, tell Putin I will get with him!","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T00:28:02.000Z,1123745930442878977,"{'mentions': [{'start': 15, 'end': 31, 'username': 'adjunctprofessr', 'id': '1207877356347625472'}], 'annotations': [{'start': 50, 'end': 55, 'probability': 0.9636, 'type': 'Place', 'normalized_text': 'Russia'}, {'start': 85, 'end': 91, 'probability': 0.8438, 'type': 'Person', 'normalized_text': 'Hillary'}, {'start': 118, 'end': 122, 'probability': 0.9556, 'type': 'Person', 'normalized_text': 'Obama'}, {'start': 149, 'end': 153, 'probability': 0.9651, 'type': 'Person', 'normalized_text': 'Putin'}]}",{'place_id': 'dd9c503d6c35364b'}
['1126827187804475392'],On god—men do not understand my humor. You all are lame as fuck,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'impression_count': 0}",2019-05-10T12:31:51.000Z,1126827187804475392,,
['1126803443841142785'],"I want to walk all over you 
Smother your face with my massive black cheeks
Mind fuck your brain leave you locked in where you belong #findom https://t.co/OXtHq2QPtX","{'retweet_count': 3, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",2019-05-10T10:57:30.000Z,1126803443841142785,"{'urls': [{'start': 142, 'end': 165, 'url': 'https://t.co/OXtHq2QPtX', 'expanded_url': 'https://twitter.com/MistressMae4/status/1126803443841142785/photo/1', 'display_url': 'pic.twitter.com/OXtHq2QPtX', 'media_key': '3_1126803435930701824'}], 'annotations': [{'start': 29, 'end': 35, 'probability': 0.4669, 'type': 'Other', 'normalized_text': 'Smother'}], 'hashtags': [{'start': 134, 'end': 141, 'tag': 'findom'}]}",
['1123733368481427456'],RT @ellevargaz: Fuck (and I cannot express this enough) T*u*p supporters &amp; those who voted for him. https://t.co/f0ksmW1Sd6,"{'retweet_count': 1752, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T23:38:07.000Z,1123733368481427456,"{'mentions': [{'start': 3, 'end': 14, 'username': 'ellevargaz', 'id': '375836504'}], 'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/f0ksmW1Sd6', 'expanded_url': 'https://twitter.com/Independent/status/1122743565711331329', 'display_url': 'twitter.com/Independent/st…'}]}",
['1126861815961382913'],"RT @JordanUhl: Turning Point USA's UNLV president: ""We’re Gonna Run the Country! White Power! F**k N*****s!"" https://t.co/JaNT20nrHa","{'retweet_count': 1172, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T14:49:27.000Z,1126861815961382913,"{'mentions': [{'start': 3, 'end': 13, 'username': 'JordanUhl', 'id': '68752979'}], 'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/JaNT20nrHa', 'expanded_url': 'https://twitter.com/IGD_News/status/1126670175384662016', 'display_url': 'twitter.com/IGD_News/statu…'}], 'annotations': [{'start': 29, 'end': 31, 'probability': 0.918, 'type': 'Place', 'normalized_text': 'USA'}, {'start': 35, 'end': 38, 'probability': 0.8105, 'type': 'Organization', 'normalized_text': 'UNLV'}]}",
['1130240235546267649'],RT @DavidJHarrisJr: They never have any facts... Just out of control emotional rhetoric. Had to stick up for my President @realDonaldTrump!…,"{'retweet_count': 2902, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-19T22:34:05.000Z,1130240235546267649,"{'mentions': [{'start': 3, 'end': 18, 'username': 'DavidJHarrisJr', 'id': '3530404094'}, {'start': 122, 'end': 138, 'username': 'realDonaldTrump', 'id': '25073877'}]}",
['1123598257387601920'],@robreiner Graham should have been kicked off this Committee.  He has proven he is a traitor to America and Trumps patsy boy.  Unfair from beginning of Committee from beginning!,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'impression_count': 0}",2019-05-01T14:41:14.000Z,1123598257387601920,"{'mentions': [{'start': 0, 'end': 10, 'username': 'robreiner', 'id': '738080573365702657'}], 'annotations': [{'start': 11, 'end': 16, 'probability': 0.9305, 'type': 'Person', 'normalized_text': 'Graham'}, {'start': 96, 'end': 102, 'probability': 0.9012, 'type': 'Place', 'normalized_text': 'America'}, {'start': 108, 'end': 113, 'probability': 0.8923, 'type': 'Person', 'normalized_text': 'Trumps'}]}",
['1127068104427655169'],RT @TSUKl666: Fuck all these females tbh all I need is my homies.... about to risk it all https://t.co/SN1FOn7rm0,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-11T04:29:10.000Z,1127068104427655169,"{'mentions': [{'start': 3, 'end': 12, 'username': 'TSUKl666', 'id': '3145013887'}], 'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/SN1FOn7rm0', 'expanded_url': 'https://twitter.com/TSUKl666/status/1126944332861149187/photo/1', 'display_url': 'pic.twitter.com/SN1FOn7rm0', 'media_key': '3_1126944326162849792'}, {'start': 90, 'end': 113, 'url': 'https://t.co/SN1FOn7rm0', 'expanded_url': 'https://twitter.com/TSUKl666/status/1126944332861149187/photo/1', 'display_url': 'pic.twitter.com/SN1FOn7rm0', 'media_key': '3_1126944326141956096'}, {'start': 90, 'end': 113, 'url': 'https://t.co/SN1FOn7rm0', 'expanded_url': 'https://twitter.com/TSUKl666/status/1126944332861149187/photo/1', 'display_url': 'pic.twitter.com/SN1FOn7rm0', 'media_key': '3_1126944326230011904'}, {'start': 90, 'end': 113, 'url': 'https://t.co/SN1FOn7rm0', 'expanded_url': 'https://twitter.com/TSUKl666/status/1126944332861149187/photo/1', 'display_url': 'pic.twitter.com/SN1FOn7rm0', 'media_key': '3_1126944326162903040'}]}",
['1130164033422811137'],RT @bniceloco: Niggas do the funniest shit when they're high 😭😭 https://t.co/t85BSS87JY,"{'retweet_count': 35080, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-19T17:31:17.000Z,1130164033422811137,"{'mentions': [{'start': 3, 'end': 13, 'username': 'bniceloco', 'id': '122881733'}], 'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/t85BSS87JY', 'expanded_url': 'https://twitter.com/OfficialSkinny1/status/939657002707496960/video/1', 'display_url': 'pic.twitter.com/t85BSS87JY', 'media_key': '7_939656902258184192'}]}",
['1126948533184204801'],"RT @adamcbest: Conservatives on abortion: We want a ban!

Conservatives on gay marriage: We want a ban!

Conservatives on immigration: We w…","{'retweet_count': 65250, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T20:34:02.000Z,1126948533184204801,"{'mentions': [{'start': 3, 'end': 13, 'username': 'adamcbest', 'id': '17261066'}]}",
['1130169179846397964'],@CBSNews She has humanitarian helping causes around the world. Yeah right. Fucking monarchy useless people. Glad we don't  have that shit,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-19T17:51:44.000Z,1130169179846397964,"{'mentions': [{'start': 0, 'end': 8, 'username': 'CBSNews', 'id': '15012486'}]}",
['1127085414286811136'],"Cops are fucking disgusting, you can't change my mind. https://t.co/2igqOzCB13","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-11T05:37:57.000Z,1127085414286811136,"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/2igqOzCB13', 'expanded_url': 'https://www.facebook.com/100001250321431/posts/2370840166300971/', 'display_url': 'facebook.com/10000125032143…'}]}",
['1130201211741900800'],RT @AndyOstroy: Can we just agree at this point that everything this corrupt traitor does is shocking and inappropriate? That everything he…,"{'retweet_count': 181, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-19T19:59:01.000Z,1130201211741900800,"{'mentions': [{'start': 3, 'end': 14, 'username': 'AndyOstroy', 'id': '123281100'}]}",
['1126813313030131712'],RT @RawStory: President suffers meltdown after James Comey told CNN it is ‘possible’ that ‘the Russians have leverage over President Trump’…,"{'retweet_count': 278, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T11:36:43.000Z,1126813313030131712,"{'mentions': [{'start': 3, 'end': 12, 'username': 'RawStory', 'id': '16041234'}], 'annotations': [{'start': 47, 'end': 57, 'probability': 0.9742, 'type': 'Person', 'normalized_text': 'James Comey'}, {'start': 64, 'end': 66, 'probability': 0.9732, 'type': 'Organization', 'normalized_text': 'CNN'}, {'start': 133, 'end': 137, 'probability': 0.8671, 'type': 'Person', 'normalized_text': 'Trump'}]}",
['1130008017926119424'],The utter ignorance of intolerant white people about #Muslims is astounding. Mmm she said she was willing to talk so maybe there's hope to educate her. Rightly got fired by #tacobell. #Islamophobia https://t.co/sglryHA415,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'impression_count': 0}",2019-05-19T07:11:20.000Z,1130008017926119424,"{'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/sglryHA415', 'expanded_url': 'https://twitter.com/_SJPeace_/status/1129756901187751936', 'display_url': 'twitter.com/_SJPeace_/stat…'}], 'hashtags': [{'start': 53, 'end': 61, 'tag': 'Muslims'}, {'start': 173, 'end': 182, 'tag': 'tacobell'}, {'start': 184, 'end': 197, 'tag': 'Islamophobia'}], 'annotations': [{'start': 174, 'end': 181, 'probability': 0.7438, 'type': 'Person', 'normalized_text': 'tacobell'}, {'start': 185, 'end': 196, 'probability': 0.4696, 'type': 'Other', 'normalized_text': 'Islamophobia'}]}",
['1126817880610181121'],"RT @PreetiSMenon: Shame on you @GautamGambhir.
We all know it's mandatory to be a filthy misogynist to be in @BJP4India but your sordid fak…","{'retweet_count': 1845, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T11:54:52.000Z,1126817880610181121,"{'mentions': [{'start': 3, 'end': 16, 'username': 'PreetiSMenon', 'id': '988858957'}, {'start': 31, 'end': 45, 'username': 'GautamGambhir', 'id': '99448420'}, {'start': 109, 'end': 119, 'username': 'BJP4India', 'id': '207809313'}]}",
['1123661008373985282'],"RT @JoeNBC: How stupid does William Barr and his Republican enablers in Washington, DC, think Americans are? Judging from their performance…","{'retweet_count': 6775, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-01T18:50:35.000Z,1123661008373985282,"{'mentions': [{'start': 3, 'end': 10, 'username': 'JoeNBC', 'id': '21619519'}], 'annotations': [{'start': 28, 'end': 39, 'probability': 0.9769, 'type': 'Person', 'normalized_text': 'William Barr'}, {'start': 72, 'end': 81, 'probability': 0.583, 'type': 'Place', 'normalized_text': 'Washington'}, {'start': 84, 'end': 85, 'probability': 0.8996, 'type': 'Place', 'normalized_text': 'DC'}]}",
['1126974172977143808'],RT @mineifiwildout: took that bitch off n had a tory lanez hairline https://t.co/Q9xiwQKY91,"{'retweet_count': 1002, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-10T22:15:55.000Z,1126974172977143808,"{'mentions': [{'start': 3, 'end': 18, 'username': 'mineifiwildout', 'id': '1614375631'}], 'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/Q9xiwQKY91', 'expanded_url': 'https://twitter.com/blackannctable/status/1125451199010963456', 'display_url': 'twitter.com/blackannctable…'}]}",
['1123822421973315587'],"RT @blcksiren_: You can block me, unfriend me, unfollow me

But you can’t uneat my ass https://t.co/x8IhSs2nxU","{'retweet_count': 36436, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",2019-05-02T05:31:59.000Z,1123822421973315587,"{'mentions': [{'start': 3, 'end': 14, 'username': 'blcksiren_', 'id': '2521888060'}], 'urls': [{'start': 87, 'end': 110, 'url': 'https://t.co/x8IhSs2nxU', 'expanded_url': 'https://twitter.com/blcksiren_/status/1123335052216160257/video/1', 'display_url': 'pic.twitter.com/x8IhSs2nxU', 'media_key': '7_1123334691078193153'}]}",
