entities,created_at,text,edit_history_tweet_ids,public_metrics,id
"{'annotations': [{'start': 26, 'end': 32, 'probability': 0.716, 'type': 'Person', 'normalized_text': 'Brennan'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'mitchellvii', 'id': '17980523'}, {'start': 13, 'end': 25, 'username': 'JohnBrennan', 'id': '910492003359760384'}, {'start': 245, 'end': 261, 'username': 'realDonaldTrump', 'id': '25073877'}]}",2019-05-19T14:50:50.000Z,@mitchellvii @JohnBrennan Brennan always looks like he’s smelling bad fish.  He’s bitter and angry ... probably because he knows what’s coming &amp; how much his legal troubles are going to cost.  When you hate and you intentionally try to hurt @realDonaldTrump through lies it will come back.,['1130123654895886336'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1130123654895886336
"{'annotations': [{'start': 16, 'end': 26, 'probability': 0.9699, 'type': 'Person', 'normalized_text': 'Luis Suarez'}]}",2019-05-01T19:51:35.000Z,"Playing against Luis Suarez must be so annoying, he’s such a little shit 😂",['1123676359518248960'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1123676359518248960
"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/qIMTQzbT8V', 'expanded_url': 'https://twitter.com/FuckMeFistMeLuv/status/1123528090301489154/video/1', 'display_url': 'pic.twitter.com/qIMTQzbT8V', 'media_key': '7_1123528055337697280'}]}",2019-05-01T14:56:22.000Z,RT @FuckMeFistMeLuv: Pounding my booty down on that fat fucker. https://t.co/qIMTQzbT8V,['1123602065811439617'],"{'retweet_count': 355, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123602065811439617
"{'urls': [{'start': 10, 'end': 33, 'url': 'https://t.co/kSpThXwB4y', 'expanded_url': 'http://bit.ly/2vOYneR', 'display_url': 'bit.ly/2vOYneR'}, {'start': 103, 'end': 126, 'url': 'https://t.co/GaYbDVK1hP', 'expanded_url': 'https://twitter.com/ImTori_Black/status/1126744778081628160/photo/1', 'display_url': 'pic.twitter.com/GaYbDVK1hP', 'media_key': '3_1126744776378687488'}], 'annotations': [{'start': 58, 'end': 61, 'probability': 0.4648, 'type': 'Other', 'normalized_text': 'Tori'}]}",2019-05-10T07:04:23.000Z,"Watch it: https://t.co/kSpThXwB4y
Striking wife in bikini Tori Black fucking fervently on the couch... https://t.co/GaYbDVK1hP",['1126744778081628160'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'impression_count': 0}",1126744778081628160
"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/jn9HYlr1Ss', 'expanded_url': 'https://twitter.com/Proliphic_/status/1125257748268978177/video/1', 'display_url': 'twitter.com/Proliphic_/sta…'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'andreaacepedaa', 'id': '962861534673334272'}]}",2019-05-11T04:33:38.000Z,"RT @andreaacepedaa: friends: you good?
me: yea, fuck him 
also me:  https://t.co/jn9HYlr1Ss",['1127069228492656640'],"{'retweet_count': 14746, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1127069228492656640
"{'mentions': [{'start': 3, 'end': 18, 'username': 'AnfieldEdition', 'id': '4581796174'}]}",2019-05-01T08:25:35.000Z,"RT @AnfieldEdition: The same man has been seen in another video being racist towards an elderly Asian man, who’s also been pushed in a foun…",['1123503721965608961'],"{'retweet_count': 698, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123503721965608961
"{'annotations': [{'start': 0, 'end': 4, 'probability': 0.5719, 'type': 'Other', 'normalized_text': 'Etika'}], 'mentions': [{'start': 254, 'end': 260, 'username': 'Etika', 'id': '1932765523'}]}",2019-05-01T17:22:05.000Z,"Etika is officially cancelled.
What a fucking prick.
What a fucking cunt.
What a fucking attention whore.
I can't support someone who thinks shit like this is a joking matter. Especially after he apologized and said he would NEVER do it again.
Fuck you, @Etika.
Fuck you.",['1123638736607154176'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123638736607154176
"{'mentions': [{'start': 3, 'end': 13, 'username': 'mindyanns', 'id': '18468025'}]}",2019-05-19T21:45:32.000Z,RT @mindyanns: The fact that the president feels that these horrible crimes shouldn’t be punished because of the ethnicity of the victims r…,['1130228017547153409'],"{'retweet_count': 134, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130228017547153409
"{'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/RIneHG7Lrv', 'expanded_url': 'https://twitter.com/nanaxxahr/status/1123558875662131200/video/1', 'display_url': 'pic.twitter.com/RIneHG7Lrv', 'media_key': '7_1123558566307057664'}], 'mentions': [{'start': 3, 'end': 13, 'username': 'slthnrafi', 'id': '366927202'}]}",2019-05-02T04:17:45.000Z,RT @slthnrafi: boys who destroy someone’s makeup and didn’t felt any guilt about it ARE FUCKING DUMB https://t.co/RIneHG7Lrv,['1123803740514017280'],"{'retweet_count': 5996, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123803740514017280
,2019-05-10T13:23:10.000Z,I got the time wrong im fucking stupid,['1126840102053928960'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126840102053928960
"{'mentions': [{'start': 3, 'end': 17, 'username': 'IWriteAllDay_', 'id': '179255183'}]}",2019-05-01T18:11:11.000Z,"RT @IWriteAllDay_: Well, we’re laughing because folx firstly don’t even see fat people as human or worthy of empathy (tbh, debate your moth…",['1123651093026754561'],"{'retweet_count': 109, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123651093026754561
"{'annotations': [{'start': 58, 'end': 63, 'probability': 0.9167, 'type': 'Person', 'normalized_text': 'Julius'}, {'start': 68, 'end': 72, 'probability': 0.972, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'TheDailyShow', 'id': '158414847'}]}",2019-05-10T17:39:03.000Z,"@TheDailyShow What you are doing is stupid, and comparing Julius to Trump. Really 🙄",['1126904497203294211'],"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0, 'impression_count': 0}",1126904497203294211
,2019-05-10T18:17:25.000Z,I should edit photos but I have a show tonight and blah blah stressed band member shit blah,['1126914152495288320'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'impression_count': 0}",1126914152495288320
,2019-05-11T03:56:15.000Z,@ShayBrenno I totally agree!! Like always went out of her way to help him make it big and he goes and does this rotten shit.,['1127059820668948480'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1127059820668948480
"{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/RYT8huS74K', 'expanded_url': 'https://twitter.com/mumeino_A/status/1126921970975760384', 'display_url': 'twitter.com/mumeino_A/stat…'}]}",2019-05-10T19:50:08.000Z,Who gives a fuck what that cunt thinks? https://t.co/RYT8huS74K,['1126937485408337922'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1126937485408337922
"{'annotations': [{'start': 31, 'end': 39, 'probability': 0.7, 'type': 'Organization', 'normalized_text': 'Democrats'}, {'start': 80, 'end': 84, 'probability': 0.9343, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'thedailybeast', 'id': '16012783'}, {'start': 50, 'end': 64, 'username': 'TheRickWilson', 'id': '19084896'}]}",2019-05-01T12:15:57.000Z,"RT @thedailybeast: ""That’s it, Democrats,"" writes @TheRickWilson. ""Put just one Trump minion in jail for contempt, and you’ll show that you…",['1123561695635488769'],"{'retweet_count': 1005, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123561695635488769
"{'annotations': [{'start': 57, 'end': 61, 'probability': 0.7309, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'realDonaldTrump', 'id': '25073877'}]}",2019-05-10T23:17:41.000Z,"@realDonaldTrump You moved on him like a bitch, fuck you trump",['1126989717059375104'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126989717059375104
"{'annotations': [{'start': 72, 'end': 81, 'probability': 0.7253, 'type': 'Other', 'normalized_text': 'Family Guy'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'SanOGram', 'id': '91626152'}]}",2019-05-19T13:57:26.000Z,"RT @SanOGram: Bitches think they MEG THE STALLION

Bitch , you MEG from Family Guy 🙄",['1130110216345989121'],"{'retweet_count': 522, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130110216345989121
"{'mentions': [{'start': 3, 'end': 13, 'username': 'FromeneKa', 'id': '908613041419280384'}]}",2019-05-19T10:12:15.000Z,"RT @FromeneKa: Oh glory days, the 💧 are TRIGGERED. Couldn’t happen to better bunch of morons. People are sick of being told we are racist (…",['1130053547104432129'],"{'retweet_count': 37, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130053547104432129
"{'annotations': [{'start': 70, 'end': 76, 'probability': 0.3563, 'type': 'Person', 'normalized_text': 'spittaz'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'OfficialChip', 'id': '40714100'}, {'start': 46, 'end': 56, 'username': 'DDoubleE7', 'id': '105119874'}]}",2019-05-10T13:39:35.000Z,RT @OfficialChip: There will never be another @DDoubleE7. All u young spittaz tryna copy his style are fake fucking frauds. Shit versions.…,['1126844233422450688'],"{'retweet_count': 129, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126844233422450688
"{'annotations': [{'start': 31, 'end': 35, 'probability': 0.6271, 'type': 'Other', 'normalized_text': 'alina'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'starlight_9488', 'id': '796287222035030017'}]}",2019-05-19T19:39:10.000Z,"@starlight_9488 @WakabaIsLitAf alina did too but you don't see me yapping cuz she's actually talented oopsie 
if you don't see how az is superior to em in jumps, spins, ss, tr and int it's a you problem bby. 
now go preach to your zero followers and leave me and my moots alone",['1130196216342564864'],"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1130196216342564864
"{'mentions': [{'start': 0, 'end': 14, 'username': 'RepAdamSchiff', 'id': '29501253'}]}",2019-05-01T16:55:03.000Z,@RepAdamSchiff Short answer: YOU need to GO AWAY!,['1123631933425168384'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123631933425168384
,2019-05-10T20:52:24.000Z,My hoes always playin wen its crunch time dawg smh these bitches better be the same way wen it’s time for me too go to the zoo n shit 🤣,['1126953155307167749'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126953155307167749
"{'annotations': [{'start': 45, 'end': 48, 'probability': 0.913, 'type': 'Person', 'normalized_text': 'Barr'}, {'start': 76, 'end': 83, 'probability': 0.5141, 'type': 'Organization', 'normalized_text': 'Congress'}, {'start': 120, 'end': 124, 'probability': 0.7314, 'type': 'Person', 'normalized_text': 'trump'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'mmpadellan', 'id': '1640929196'}]}",2019-05-01T10:58:32.000Z,RT @mmpadellan: We've all known from the day Barr opened his lying mouth to Congress he was only interested in covering trump's crooked ass…,['1123542213080879104'],"{'retweet_count': 768, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123542213080879104
"{'annotations': [{'start': 14, 'end': 17, 'probability': 0.6493, 'type': 'Other', 'normalized_text': 'Rudy'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'RudyGiuliani', 'id': '770781940341288960'}]}",2019-05-11T05:15:09.000Z,"@RudyGiuliani Rudy, you’re either a lunatic, or senile!",['1127079676478754816'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1127079676478754816
"{'annotations': [{'start': 20, 'end': 28, 'probability': 0.9798, 'type': 'Person', 'normalized_text': 'Bill Barr'}, {'start': 125, 'end': 135, 'probability': 0.8883, 'type': 'Place', 'normalized_text': 'White House'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'benjaminwittes', 'id': '186667011'}]}",2019-05-01T20:03:28.000Z,RT @benjaminwittes: Bill Barr's inability to answer @SenKamalaHarris's question about whether the president or anyone in the White House su…,['1123679350036082688'],"{'retweet_count': 4193, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123679350036082688
"{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/pTh9tj0YI6', 'expanded_url': 'https://twitter.com/JamieBuke/status/1123597512479256577', 'display_url': 'twitter.com/JamieBuke/stat…'}], 'annotations': [{'start': 29, 'end': 31, 'probability': 0.8429, 'type': 'Organization', 'normalized_text': 'SNP'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'EMMACLIFF0RD', 'id': '572618402'}]}",2019-05-01T15:08:11.000Z,"@EMMACLIFF0RD ah, I get it...SNP supporters abused you https://t.co/pTh9tj0YI6",['1123605039556321280'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123605039556321280
"{'annotations': [{'start': 44, 'end': 57, 'probability': 0.9625, 'type': 'Person', 'normalized_text': 'Lindsey Graham'}, {'start': 67, 'end': 71, 'probability': 0.9597, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 106, 'end': 113, 'probability': 0.5488, 'type': 'Person', 'normalized_text': 'BarrLied'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'AynRandPaulRyan', 'id': '755835576'}, {'start': 32, 'end': 40, 'username': 'atrupar', 'id': '288277167'}], 'hashtags': [{'start': 105, 'end': 114, 'tag': 'BarrLied'}, {'start': 115, 'end': 127, 'tag': 'barrhearing'}]}",2019-05-02T04:54:03.000Z,"RT @AynRandPaulRyan: Thank you, @atrupar! 

Lindsey Graham saying ""Trump is a fucking idiot"" on loop.🤣🤣🤣
#BarrLied #barrhearing #wednesdayw…",['1123812875699728384'],"{'retweet_count': 1318, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123812875699728384
"{'annotations': [{'start': 27, 'end': 31, 'probability': 0.9669, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 80, 'end': 86, 'probability': 0.481, 'type': 'Other', 'normalized_text': 'tycoons'}, {'start': 102, 'end': 110, 'probability': 0.8317, 'type': 'Other', 'normalized_text': 'Hollywood'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'RStarovich', 'id': '536305079'}, {'start': 16, 'end': 26, 'username': 'B52Malmet', 'id': '2876041031'}]}",2019-05-10T21:03:28.000Z,"RT @RStarovich: @B52Malmet Trump fits in nowhere. He is too stupid for business tycoons, to crass for Hollywood, too ignorant for democrati…",['1126955940316680193'],"{'retweet_count': 19, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126955940316680193
"{'annotations': [{'start': 0, 'end': 3, 'probability': 0.686, 'type': 'Person', 'normalized_text': 'Barr'}]}",2019-05-01T15:16:38.000Z,Barr should be locked up right now for obstructing justice bring the marshals in the room and lock his ass up,['1123607166080909312'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123607166080909312
"{'annotations': [{'start': 14, 'end': 18, 'probability': 0.9007, 'type': 'Person', 'normalized_text': 'CHRIS'}], 'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/7mFcg2jZjx', 'expanded_url': 'https://twitter.com/Crashisimmortal/status/1126915187699867651', 'display_url': 'twitter.com/Crashisimmorta…'}]}",2019-05-10T18:22:19.000Z,"Yeh, FUCK YOU CHRIS https://t.co/7mFcg2jZjx",['1126915385595498496'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1126915385595498496
"{'mentions': [{'start': 0, 'end': 16, 'username': 'realDonaldTrump', 'id': '25073877'}]}",2019-05-10T12:50:10.000Z,"@realDonaldTrump You are vile, evil, criminal, a cheat, a fraud, a liar, a fool. You are corrupt, you are unfit, you are unqualifed, you are a con. You spead hate &amp; fear. You are no presidential, you are a disgrace to the office. You are a danger to the country.",['1126831797336252416'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126831797336252416
"{'annotations': [{'start': 13, 'end': 27, 'probability': 0.9737, 'type': 'Person', 'normalized_text': 'Jamie Lannister'}, {'start': 116, 'end': 128, 'probability': 0.9116, 'type': 'Other', 'normalized_text': 'GameOfThrones'}], 'hashtags': [{'start': 115, 'end': 129, 'tag': 'GameOfThrones'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'KJLEED2', 'id': '205870233'}]}",2019-05-20T03:28:35.000Z,"RT @KJLEED2: Jamie Lannister, he is the nastiest skank bitch I have ever met. Do not trust him, he is a fugly slut.#GameOfThrones https://t…",['1130314348923113474'],"{'retweet_count': 2426, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130314348923113474
"{'mentions': [{'start': 0, 'end': 14, 'username': 'CharleneWhite', 'id': '46017944'}]}",2019-05-10T18:02:55.000Z,@CharleneWhite He could have cut off his own hand to show how sorry he was &amp; it would not have made a blind bit of difference. Once the mob smelt blood his fate was sealed.,['1126910503459196928'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1126910503459196928
"{'mentions': [{'start': 0, 'end': 7, 'username': 'XDevul', 'id': '1248788855521763328'}]}",2019-05-02T04:33:30.000Z,@xdevul What a piece of shit is filming that instead of helping,['1123807704147951617'],"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1123807704147951617
"{'annotations': [{'start': 36, 'end': 41, 'probability': 0.9644, 'type': 'Person', 'normalized_text': 'Ariana'}], 'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/sEdsJM8hOT', 'expanded_url': 'https://t.co/sEdsJM8hOT', 'display_url': 't.co/sEdsJM8hOT'}]}",2019-05-20T05:47:50.000Z,This album proved to the world that Ariana is a bad bitch and is THAT bitch https://t.co/sEdsJM8hOT,['1130349392303656962'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'impression_count': 0}",1130349392303656962
"{'mentions': [{'start': 3, 'end': 12, 'username': 'sddphoto', 'id': '1598812760'}], 'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/tpMRW4D6zD', 'expanded_url': 'https://twitter.com/nevermore_007/status/1126968153559457793', 'display_url': 'twitter.com/nevermore_007/…'}]}",2019-05-10T22:44:52.000Z,RT @sddphoto: He’s such an ass -I’d rather sleep flat on my bed than use any of his pillows https://t.co/tpMRW4D6zD,['1126981458495713281'],"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126981458495713281
"{'mentions': [{'start': 0, 'end': 8, 'username': 'Cody_Qu', 'id': '2794260220'}, {'start': 9, 'end': 21, 'username': 'TATIANNANOW', 'id': '63652756'}, {'start': 22, 'end': 38, 'username': 'AlyssaEdwards_1', 'id': '944835650'}]}",2019-05-11T03:12:19.000Z,@Cody_Qu @TATIANNANOW @AlyssaEdwards_1 That’s my Bitch🤪🤪,['1127048764487761921'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'impression_count': 0}",1127048764487761921
"{'mentions': [{'start': 0, 'end': 6, 'username': 'nbstv', 'id': '344718893'}]}",2019-05-01T18:35:47.000Z,"@nbstv Idiotic MPs,they go to hell",['1123657283832045568'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123657283832045568
"{'mentions': [{'start': 0, 'end': 16, 'username': 'realDonaldTrump', 'id': '25073877'}]}",2019-05-01T12:35:10.000Z,"@realDonaldTrump Seems like a trend for presidents to do nothing, huh big orange?",['1123566531668074498'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123566531668074498
"{'mentions': [{'start': 3, 'end': 19, 'username': 'ScarletteHarlet', 'id': '1327273285109747713'}], 'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/0WtRqDAHgJ', 'expanded_url': 'https://onlyfans.com/4146112/scarletteharlet', 'display_url': 'onlyfans.com/4146112/scarle…'}]}",2019-05-01T17:10:57.000Z,"RT @ScarletteHarlet: 15 minute B/G vid I promised including a good suck and fuck in so many different Angles 🤤🤤🤤

https://t.co/0WtRqDAHgJ",['1123635934820478976'],"{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1123635934820478976
"{'annotations': [{'start': 18, 'end': 23, 'probability': 0.594, 'type': 'Other', 'normalized_text': 'Drogon'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'ShezusChrist', 'id': '208945635'}]}",2019-05-20T04:43:56.000Z,RT @ShezusChrist: Drogon has had the worst szn ever. This nigga brothers died now this. My mans mental health is in shambles,['1130333311367286785'],"{'retweet_count': 142, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1130333311367286785
,2019-05-10T19:48:44.000Z,@MrBeastYT You know what that’s okay I respect you dumb fucking disease of an opinion.,['1126937133070024704'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126937133070024704
"{'annotations': [{'start': 141, 'end': 144, 'probability': 0.8666, 'type': 'Place', 'normalized_text': 'Iran'}], 'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/AEt5W2zv5l', 'expanded_url': 'https://twitter.com/MrsShy11/status/1126724587553558531', 'display_url': 'twitter.com/MrsShy11/statu…'}]}",2019-05-10T23:06:32.000Z,"LOL, the dems have jumped into bed with the alphabet people. They and the dems jumped into bed with islam. But hey, homos fly in places like Iran. Right off rooftops, how moronic is that?
Then they demand socialism so, everyone is equal. Too silly to see, we'd be equally poor! https://t.co/AEt5W2zv5l",['1126986911061508096'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1126986911061508096
